1400063591297,605,Heavy Load Http Create Print Job,Non HTTP response code: java.net.SocketException,Non HTTP response message: socket closed,HeavyLoadUsers 1-3,text,false,2383,0
1400063591296,608,Heavy Load Http Create Print Job,Non HTTP response code: java.net.SocketException,Non HTTP response message: socket closed,HeavyLoadUsers 1-1,text,false,2383,0
1400063591307,599,Light Load Http Create Print Job,Non HTTP response code: java.net.SocketException,Non HTTP response message: socket closed,LightLoadUsers 2-18,text,false,2383,0
1400063591317,595,Light Load Http Create Print Job,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,LightLoadUsers 2-36,text,false,1995,0
1400063591334,584,Medium Load Http Create Print Job,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Medium Load Users 3-16,text,false,1995,0
1400063591612,307,Medium Load Http Create Print Job,Non HTTP response code: java.net.SocketException,Non HTTP response message: socket closed,Medium Load Users 3-8,text,false,2383,0
1400063742082,1,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-70,text,false,1940,0
1400063742933,1,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-35,text,false,1940,0
1400063746361,1,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-30,text,false,1940,0
1400063748933,1,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-31,text,false,1940,0
1400063751503,1,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-33,text,false,1940,0
1400063752353,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-2,text,false,1940,0
1400063752353,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-1,text,false,1940,0
1400063752358,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-16,text,false,1940,0
1400063752361,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-34,text,false,1940,0
1400063753212,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-4,text,false,1940,0
1400063754071,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-8,text,false,1940,0
1400063754071,0,Light Load Http Create Print Job,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,LightLoadUsers 2-18,text,false,1940,0
